Symbol,Date,Open,High,Low,Close,Volume
"AAPL","2025-08-15 08:00:00","233","233.24","232.8","232.93","0"
"AAPL","2025-08-15 08:02:00","232.9","233.02","232.84","232.97","0"
"AAPL","2025-08-15 08:04:00","232.96","233.02","232.93","233","0"
"AAPL","2025-08-15 08:06:00","233","233","232.9","232.92","0"
"AAPL","2025-08-15 08:08:00","232.91","233","232.91","233","0"
"AAPL","2025-08-15 08:10:00","232.91","233","232.9","232.92","0"
"AAPL","2025-08-15 08:12:00","233","233.02","232.94","233.02","0"
"AAPL","2025-08-15 08:14:00","233.08","233.12","232.98","232.98","0"
"AAPL","2025-08-15 08:16:00","233.01","233.01","232.99","232.99","0"
"AAPL","2025-08-15 08:18:00","233.05","233.13","233.04","233.13","0"
"AAPL","2025-08-15 08:20:00","233.18","233.18","233.09","233.09","0"
"AAPL","2025-08-15 08:22:00","233.07","233.07","233.04","233.04","0"
"AAPL","2025-08-15 08:24:00","233.04","233.1","233.04","233.05","0"
"AAPL","2025-08-15 08:26:00","233.05","233.1","233.05","233.05","0"
"AAPL","2025-08-15 08:28:00","233.05","233.05","233.01","233.05","0"
"AAPL","2025-08-15 08:30:00","233.05","233.08","233.01","233.07","0"
"AAPL","2025-08-15 08:32:00","233.07","233.16","233.07","233.07","0"
"AAPL","2025-08-15 08:34:00","233.16","233.16","233.13","233.16","0"
"AAPL","2025-08-15 08:36:00","233.15","233.15","233.13","233.13","0"
"AAPL","2025-08-15 08:38:00","233.1","233.11","233.1","233.11","0"
"AAPL","2025-08-15 08:40:00","233.12","233.13","233.02","233.02","0"
"AAPL","2025-08-15 08:42:00","233.02","233.1","233.02","233.09","0"
"AAPL","2025-08-15 08:44:00","233.09","233.11","233.05","233.11","0"
"AAPL","2025-08-15 08:46:00","233","233","233","233","0"
"AAPL","2025-08-15 08:48:00","233","233","232.67","232.75","0"
"AAPL","2025-08-15 08:50:00","232.71","232.85","232.71","232.84","0"
"AAPL","2025-08-15 08:52:00","232.85","232.9","232.85","232.9","0"
"AAPL","2025-08-15 08:54:00","232.82","232.84","232.81","232.84","0"
"AAPL","2025-08-15 08:56:00","232.81","232.84","232.81","232.84","0"
"AAPL","2025-08-15 08:58:00","232.84","232.84","232.7","232.76","0"
"AAPL","2025-08-15 09:00:00","232.66","232.78","232.6","232.78","0"
"AAPL","2025-08-15 09:02:00","232.65","232.8","232.65","232.8","0"
"AAPL","2025-08-15 09:04:00","232.73","232.8","232.73","232.8","0"
"AAPL","2025-08-15 09:06:00","232.75","232.85","232.75","232.81","0"
"AAPL","2025-08-15 09:08:00","232.81","232.83","232.8","232.82","0"
"AAPL","2025-08-15 09:10:00","232.82","232.87","232.77","232.84","0"
"AAPL","2025-08-15 09:12:00","232.88","232.91","232.88","232.91","0"
"AAPL","2025-08-15 09:14:00","232.87","232.87","232.82","232.82","0"
"AAPL","2025-08-15 09:16:00","232.82","232.82","232.78","232.78","0"
"AAPL","2025-08-15 09:18:00","232.78","232.91","232.78","232.91","0"
"AAPL","2025-08-15 09:20:00","232.91","232.96","232.89","232.96","0"
"AAPL","2025-08-15 09:22:00","232.96","232.96","232.96","232.96","0"
"AAPL","2025-08-15 09:24:00","232.9","232.9","232.87","232.89","0"
"AAPL","2025-08-15 09:26:00","232.87","232.87","232.87","232.87","0"
"AAPL","2025-08-15 09:28:00","232.91","232.99","232.91","232.99","0"
"AAPL","2025-08-15 09:30:00","232.89","232.89","232.84","232.84","0"
"AAPL","2025-08-15 09:32:00","232.83","232.84","232.82","232.84","0"
"AAPL","2025-08-15 09:34:00","232.87","232.87","232.85","232.87","0"
"AAPL","2025-08-15 09:36:00","232.88","232.91","232.88","232.9","0"
"AAPL","2025-08-15 09:38:00","232.91","232.91","232.81","232.9","0"
"AAPL","2025-08-15 09:40:00","232.89","232.91","232.86","232.87","0"
"AAPL","2025-08-15 09:42:00","232.86","232.87","232.86","232.87","0"
"AAPL","2025-08-15 09:46:00","232.9","232.97","232.9","232.95","0"
"AAPL","2025-08-15 09:48:00","232.95","233.1","232.92","233.1","0"
"AAPL","2025-08-15 09:50:00","233.1","233.18","233.07","233.07","0"
"AAPL","2025-08-15 09:52:00","233.04","233.04","233.03","233.03","0"
"AAPL","2025-08-15 09:54:00","233.03","233.03","232.97","232.97","0"
"AAPL","2025-08-15 09:56:00","232.93","232.93","232.93","232.93","0"
"AAPL","2025-08-15 09:58:00","232.89","232.98","232.84","232.84","0"
"AAPL","2025-08-15 10:00:00","232.83","232.83","232.83","232.83","0"
"AAPL","2025-08-15 10:04:00","232.85","232.85","232.81","232.81","0"
"AAPL","2025-08-15 10:06:00","232.82","232.9","232.82","232.9","0"
"AAPL","2025-08-15 10:08:00","232.91","232.99","232.9","232.97","0"
"AAPL","2025-08-15 10:10:00","232.91","232.91","232.9","232.9","0"
"AAPL","2025-08-15 10:12:00","232.9","232.9","232.82","232.9","0"
"AAPL","2025-08-15 10:14:00","232.89","232.91","232.82","232.82","0"
"AAPL","2025-08-15 10:16:00","232.82","232.82","232.82","232.82","0"
"AAPL","2025-08-15 10:18:00","232.78","232.78","232.76","232.77","0"
"AAPL","2025-08-15 10:20:00","232.77","232.8","232.77","232.79","0"
"AAPL","2025-08-15 10:22:00","232.79","232.79","232.79","232.79","0"
"AAPL","2025-08-15 10:24:00","232.85","232.85","232.8","232.81","0"
"AAPL","2025-08-15 10:26:00","232.87","232.87","232.87","232.87","0"
"AAPL","2025-08-15 10:28:00","232.8","232.8","232.8","232.8","0"
"AAPL","2025-08-15 10:30:00","232.78","232.85","232.77","232.82","0"
"AAPL","2025-08-15 10:32:00","232.91","232.91","232.91","232.91","0"
"AAPL","2025-08-15 10:34:00","232.92","232.95","232.92","232.93","0"
"AAPL","2025-08-15 10:36:00","232.93","232.93","232.93","232.93","0"
"AAPL","2025-08-15 10:38:00","232.85","232.85","232.85","232.85","0"
"AAPL","2025-08-15 10:40:00","232.86","232.86","232.86","232.86","0"
"AAPL","2025-08-15 10:42:00","232.91","232.91","232.85","232.85","0"
"AAPL","2025-08-15 10:44:00","232.9","232.9","232.85","232.85","0"
"AAPL","2025-08-15 10:46:00","232.91","232.91","232.8","232.84","0"
"AAPL","2025-08-15 10:48:00","232.83","232.88","232.75","232.87","0"
"AAPL","2025-08-15 10:50:00","232.86","232.86","232.86","232.86","0"
"AAPL","2025-08-15 10:52:00","232.75","232.75","232.7","232.7","0"
"AAPL","2025-08-15 10:54:00","232.68","232.68","232.67","232.67","0"
"AAPL","2025-08-15 10:56:00","232.76","232.87","232.66","232.66","0"
"AAPL","2025-08-15 10:58:00","232.67","232.73","232.67","232.73","0"
"AAPL","2025-08-15 11:00:00","232.8","232.8","232.71","232.72","0"
"AAPL","2025-08-15 11:02:00","232.76","232.76","232.72","232.75","0"
"AAPL","2025-08-15 11:04:00","232.75","232.76","232.7","232.7","0"
"AAPL","2025-08-15 11:06:00","232.7","232.76","232.7","232.74","0"
"AAPL","2025-08-15 11:08:00","232.78","232.85","232.78","232.85","0"
"AAPL","2025-08-15 11:10:00","232.85","232.94","232.85","232.9","0"
"AAPL","2025-08-15 11:12:00","232.94","232.95","232.82","232.9","0"
"AAPL","2025-08-15 11:14:00","232.9","232.91","232.85","232.9","0"
"AAPL","2025-08-15 11:16:00","232.84","232.95","232.84","232.9","0"
"AAPL","2025-08-15 11:18:00","232.91","233.03","232.9","232.98","0"
"AAPL","2025-08-15 11:20:00","232.99","233.1","232.99","233.08","0"
"AAPL","2025-08-15 11:22:00","233.08","233.13","233.06","233.1","0"
"AAPL","2025-08-15 11:24:00","233.11","233.24","233.11","233.24","0"
"AAPL","2025-08-15 11:26:00","233.2","233.2","233.12","233.12","0"
"AAPL","2025-08-15 11:30:00","233.06","233.06","233.02","233.05","0"
"AAPL","2025-08-15 11:32:00","233.02","233.15","233.02","233.15","0"
"AAPL","2025-08-15 11:34:00","233.15","233.15","233.07","233.1","0"
"AAPL","2025-08-15 11:36:00","233.13","233.13","233.12","233.12","0"
"AAPL","2025-08-15 11:38:00","233.12","233.16","233.09","233.16","0"
"AAPL","2025-08-15 11:40:00","233.11","233.26","233.1","233.22","0"
"AAPL","2025-08-15 11:42:00","233.2","233.2","233.2","233.2","0"
"AAPL","2025-08-15 11:44:00","233.21","233.3","233.21","233.3","0"
"AAPL","2025-08-15 11:46:00","233.25","233.25","233.17","233.17","0"
"AAPL","2025-08-15 11:48:00","233.17","233.17","233.16","233.16","0"
"AAPL","2025-08-15 11:50:00","233.2","233.25","233.2","233.25","0"
"AAPL","2025-08-15 11:52:00","233.17","233.17","233.12","233.17","0"
"AAPL","2025-08-15 11:54:00","233.12","233.12","233.12","233.12","0"
"AAPL","2025-08-15 11:56:00","233.14","233.18","233.14","233.16","0"
"AAPL","2025-08-15 11:58:00","233.16","233.2","233.12","233.2","0"
"AAPL","2025-08-15 12:00:00","233.17","233.38","210.49","233.22","0"
"AAPL","2025-08-15 12:02:00","233.01","233.23","233.01","233.14","0"
"AAPL","2025-08-15 12:04:00","233.14","233.24","232.78","233.22","0"
"AAPL","2025-08-15 12:06:00","233.03","233.22","233.02","233.2","0"
"AAPL","2025-08-15 12:08:00","233.02","233.21","233.02","233.12","0"
"AAPL","2025-08-15 12:10:00","233.12","233.22","233.1","233.11","0"
"AAPL","2025-08-15 12:12:00","233.2","233.2","233.1","233.11","0"
"AAPL","2025-08-15 12:14:00","233.16","233.16","233","233","0"
"AAPL","2025-08-15 12:16:00","233","233.14","233","233.01","0"
"AAPL","2025-08-15 12:18:00","233.03","233.14","232.98","233.05","0"
"AAPL","2025-08-15 12:20:00","232.95","233","232.8","232.93","0"
"AAPL","2025-08-15 12:22:00","232.9","233.15","232.8","233.03","0"
"AAPL","2025-08-15 12:24:00","233.15","233.16","232.75","232.78","0"
"AAPL","2025-08-15 12:26:00","232.88","233.07","232.75","232.8","0"
"AAPL","2025-08-15 12:28:00","232.8","233.15","232.79","232.79","0"
"AAPL","2025-08-15 12:30:00","232.81","233.11","232.76","232.94","0"
"AAPL","2025-08-15 12:32:00","233","233","232.81","232.85","0"
"AAPL","2025-08-15 12:34:00","232.85","232.93","232.83","232.91","0"
"AAPL","2025-08-15 12:36:00","232.93","233.11","232.93","233.04","0"
"AAPL","2025-08-15 12:38:00","233","233.08","232.96","233","0"
"AAPL","2025-08-15 12:40:00","233","233.12","233","233.06","0"
"AAPL","2025-08-15 12:42:00","233","233.12","233","233.06","0"
"AAPL","2025-08-15 12:44:00","233.06","233.12","233","233.09","0"
"AAPL","2025-08-15 12:46:00","233.09","233.1","233","233","0"
"AAPL","2025-08-15 12:48:00","233.1","233.1","233","233.05","0"
"AAPL","2025-08-15 12:50:00","233.08","233.1","233","233.08","0"
"AAPL","2025-08-15 12:52:00","233.05","233.1","233","233.1","0"
"AAPL","2025-08-15 12:54:00","233.07","233.1","233.03","233.1","0"
"AAPL","2025-08-15 12:56:00","233.1","233.1","233.03","233.08","0"
"AAPL","2025-08-15 12:58:00","233.08","233.1","233.03","233.03","0"
"AAPL","2025-08-15 13:00:00","233.03","233.16","233.03","233.16","0"
"AAPL","2025-08-15 13:02:00","233.16","233.19","233.09","233.1","0"
"AAPL","2025-08-15 13:04:00","233.09","233.25","233.01","233.16","0"
"AAPL","2025-08-15 13:06:00","233.25","233.25","233.04","233.25","0"
"AAPL","2025-08-15 13:08:00","233.25","233.26","233.04","233.1","0"
"AAPL","2025-08-15 13:10:00","233.11","233.2","233.04","233.04","0"
"AAPL","2025-08-15 13:12:00","233.11","233.26","233.04","233.07","0"
"AAPL","2025-08-15 13:14:00","233.19","233.19","233.07","233.12","0"
"AAPL","2025-08-15 13:16:00","233.12","233.15","233.07","233.12","0"
"AAPL","2025-08-15 13:18:00","233.1","233.24","233.1","233.16","0"
"AAPL","2025-08-15 13:20:00","233.21","233.21","233.14","233.17","0"
"AAPL","2025-08-15 13:22:00","233.17","233.3","233.1","233.3","0"
"AAPL","2025-08-15 13:24:00","233.24","233.34","232.52","232.9","0"
"AAPL","2025-08-15 13:26:00","232.99","233.17","232.9","233.1","0"
"AAPL","2025-08-15 13:28:00","233.03","234.15","233.03","233.56","0"
"AAPL","2025-08-15 13:30:00","233.73","234.22","233.02","233.5","5193782"
"AAPL","2025-08-15 13:32:00","233.5","233.72","233.09","233.23","303241"
"AAPL","2025-08-15 13:34:00","233.36","233.79","233.21","233.56","448691"
"AAPL","2025-08-15 13:36:00","233.54","233.54","233.15","233.35","237482"
"AAPL","2025-08-15 13:38:00","233.38","233.55","232.94","233.22","279294"
"AAPL","2025-08-15 13:40:00","233.25","233.35","232.98","232.99","155701"
"AAPL","2025-08-15 13:42:00","233.03","233.26","232.91","232.91","187121"
"AAPL","2025-08-15 13:44:00","232.91","233.08","232.63","232.65","286199"
"AAPL","2025-08-15 13:46:00","232.66","232.66","232.2","232.31","293488"
"AAPL","2025-08-15 13:48:00","232.28","232.45","232.1","232.16","267717"
"AAPL","2025-08-15 13:50:00","232.17","232.53","232.05","232.48","222109"
"AAPL","2025-08-15 13:52:00","232.48","232.49","232.21","232.35","192073"
"AAPL","2025-08-15 13:54:00","232.33","232.48","232.22","232.26","156948"
"AAPL","2025-08-15 13:56:00","232.25","232.3","231.92","232.02","165846"
"AAPL","2025-08-15 13:58:00","232.02","232.06","231.8","232.06","240060"
"AAPL","2025-08-15 14:00:00","232","232.02","231.55","231.92","326661"
"AAPL","2025-08-15 14:02:00","231.92","232.18","231.81","232.07","248594"
"AAPL","2025-08-15 14:04:00","232.07","232.36","231.84","231.88","231775"
