Symbol,Date,Open,High,Low,Close,Volume
"AAPL","2010-01-04 14:30:00","7.62","7.66","7.59","7.64","493729600"
"AAPL","2010-01-05 14:30:00","7.66","7.7","7.62","7.66","601904800"
"AAPL","2010-01-06 14:30:00","7.66","7.69","7.53","7.53","552160000"
"AAPL","2010-01-07 14:30:00","7.56","7.57","7.47","7.52","477131200"
"AAPL","2010-01-08 14:30:00","7.51","7.57","7.47","7.57","447610800"
"AAPL","2010-01-11 14:30:00","7.6","7.61","7.44","7.5","462229600"
"AAPL","2010-01-12 14:30:00","7.47","7.49","7.37","7.42","594459600"
"AAPL","2010-01-13 14:30:00","7.42","7.53","7.29","7.52","605892000"
"AAPL","2010-01-14 14:30:00","7.5","7.52","7.47","7.48","432894000"
"AAPL","2010-01-15 14:30:00","7.53","7.56","7.35","7.35","594067600"
"AAPL","2010-01-19 14:30:00","7.44","7.69","7.4","7.68","730007600"
"AAPL","2010-01-20 14:30:00","7.68","7.7","7.48","7.56","612152800"
"AAPL","2010-01-21 14:30:00","7.57","7.62","7.4","7.43","608154400"
"AAPL","2010-01-22 14:30:00","7.39","7.41","7.04","7.06","881767600"
"AAPL","2010-01-25 14:30:00","7.23","7.31","7.15","7.25","1065699600"
"AAPL","2010-01-26 14:30:00","7.36","7.63","7.24","7.36","1867110000"
"AAPL","2010-01-27 14:30:00","7.39","7.52","7.13","7.42","1722568400"
"AAPL","2010-01-28 14:30:00","7.32","7.34","7.1","7.12","1173502400"
"AAPL","2010-01-29 14:30:00","7.18","7.22","6.79","6.86","1245952400"
"AAPL","2010-02-01 14:30:00","6.87","7","6.83","6.95","749876400"
"AAPL","2010-02-02 14:30:00","7","7.01","6.91","6.99","698342400"
"AAPL","2010-02-03 14:30:00","6.97","7.15","6.94","7.12","615328000"
"AAPL","2010-02-04 14:30:00","7.03","7.08","6.84","6.86","757652000"
"AAPL","2010-02-05 14:30:00","6.88","7","6.82","6.98","850306800"
"AAPL","2010-02-08 14:30:00","6.99","7.07","6.93","6.93","478270800"
"AAPL","2010-02-09 14:30:00","7.01","7.05","6.96","7.01","632886800"
"AAPL","2010-02-10 14:30:00","7","7.02","6.94","6.97","370361600"
"AAPL","2010-02-11 14:30:00","6.96","7.13","6.93","7.1","550345600"
"AAPL","2010-02-12 14:30:00","7.08","7.2","6.98","7.16","655468800"
"AAPL","2010-02-16 14:30:00","7.21","7.27","7.2","7.26","543737600"
"AAPL","2010-02-17 14:30:00","7.29","7.3","7.17","7.23","436396800"
"AAPL","2010-02-18 14:30:00","7.2","7.28","7.18","7.25","422825200"
