Symbol,Date,Open,High,Low,Close,Volume
"AMC","2013-12-18 14:30:00","191.8","197.9","189","189","545720"
"AMC","2013-12-19 14:30:00","189","194.9","188.1","194.9","160540"
"AMC","2013-12-20 14:30:00","196.5","197.7","194","196.8","73710"
"AMC","2013-12-23 14:30:00","197.9","199.9","195","197.4","69810"
"AMC","2013-12-24 14:30:00","197.4","198.2","195","195.3","21370"
"AMC","2013-12-26 14:30:00","195.5","199","193.5","197.8","41650"
"AMC","2013-12-27 14:30:00","199.3","205.9","195.3","201.4","75820"
"AMC","2013-12-30 14:30:00","201","201.4","198.2","199.8","24680"
"AMC","2013-12-31 14:30:00","199.6","207.2","199.6","205.5","31390"
"AMC","2014-01-02 14:30:00","206.2","209.4","199.6","201.8","42580"
"AMC","2014-01-03 14:30:00","201","202.8","197.8","200.2","29870"
"AMC","2014-01-06 14:30:00","200.5","201","198.1","200.1","50970"
"AMC","2014-01-07 14:30:00","200.4","201.7","199.3","200.5","85680"
"AMC","2014-01-08 14:30:00","201","201","198.9","199.6","49790"
"AMC","2014-01-09 14:30:00","199.6","200.5","198.1","200.3","29020"
"AMC","2014-01-10 14:30:00","200.5","201.5","199.9","200.4","66010"
"AMC","2014-01-13 14:30:00","199","200.1","197.5","199.8","39260"
"AMC","2014-01-14 14:30:00","198.6","203.4","197.5","201.2","21580"
"AMC","2014-01-15 14:30:00","201.8","203","198.1","199.9","31180"
"AMC","2014-01-16 14:30:00","199.2","204.9","199","203","27930"
"AMC","2014-01-17 14:30:00","201.8","204.9","200.4","202.4","13140"
"AMC","2014-01-21 14:30:00","204","210","203.2","208.5","62030"
"AMC","2014-01-22 14:30:00","209.4","214.9","209.2","212.6","32680"
"AMC","2014-01-23 14:30:00","212.7","212.7","205","212.7","15430"
"AMC","2014-01-24 14:30:00","212.7","216.1","208","213.7","40900"
"AMC","2014-01-27 14:30:00","212.6","214.7","210.2","213.5","49720"
"AMC","2014-01-28 14:30:00","219.7","219.7","211","219.1","33260"
"AMC","2014-01-29 14:30:00","219.2","219.2","213.5","216.4","7720"
"AMC","2014-01-30 14:30:00","218.8","220","214.3","215.3","12270"
"AMC","2014-01-31 14:30:00","212.5","218.2","211.6","213.7","23080"
"AMC","2014-02-03 14:30:00","215","215","210.1","210.5","23220"
"AMC","2014-02-04 14:30:00","210.5","211.7","206.2","210.2","31150"
"AMC","2014-02-05 14:30:00","208.4","211.3","203","210.4","36200"
"AMC","2014-02-06 14:30:00","209.9","211.6","207.1","211.6","21160"
"AMC","2014-02-07 14:30:00","212.1","213.3","209.1","213.2","12990"
"AMC","2014-02-10 14:30:00","212.5","213.7","210.7","213.7","11830"
"AMC","2014-02-11 14:30:00","214.6","217.8","213","217.7","15620"
"AMC","2014-02-12 14:30:00","217.1","220.9","214.6","220.4","14790"
"AMC","2014-02-13 14:30:00","217.4","224.5","217.2","221","18340"
"AMC","2014-02-14 14:30:00","221.8","221.8","213.2","220","17260"
"AMC","2014-02-18 14:30:00","221","221","218","219.9","18380"
"AMC","2014-02-19 14:30:00","219.2","222.5","217.6","219.3","21090"
"AMC","2014-02-20 14:30:00","218","220.6","216.3","219.5","17980"
"AMC","2014-02-21 14:30:00","220","226.4","217.9","223.1","30380"
"AMC","2014-02-24 14:30:00","224","225","219","223.9","24540"
"AMC","2014-02-25 14:30:00","224.8","229.3","223.1","224.7","25280"
"AMC","2014-02-26 14:30:00","227.5","228.8","216.7","225.2","56750"
"AMC","2014-02-27 14:30:00","225.2","229.4","221.4","227.4","37430"
"AMC","2014-02-28 14:30:00","227.4","229.4","223.5","228.9","30620"
"AMC","2014-03-03 14:30:00","229.7","236","227.7","229.5","43290"
"AMC","2014-03-04 14:30:00","230.8","244.6","230.8","239.8","115720"
"AMC","2014-03-05 14:30:00","240.4","248","240.4","246.6","35540"
"AMC","2014-03-06 14:30:00","247.8","252.9","245.9","252.2","35130"
"AMC","2014-03-07 14:30:00","254.3","258.1","247.6","254.7","48770"
"AMC","2014-03-10 13:30:00","253","264","247.4","248.1","39850"
"AMC","2014-03-11 13:30:00","249.4","266.8","239.8","239.8","122670"
"AMC","2014-03-12 13:30:00","239.9","245.8","230.2","232.9","50810"
"AMC","2014-03-13 13:30:00","233.4","245.6","233.4","238.7","82760"
"AMC","2014-03-14 13:30:00","238.5","248","237.3","241.1","56700"
"AMC","2014-03-17 13:30:00","241.7","254.3","241.7","250.6","86800"
"AMC","2014-03-18 13:30:00","251.7","252.5","243.4","244","54750"
"AMC","2014-03-19 13:30:00","239","239","231.9","235.8","56920"
"AMC","2014-03-20 13:30:00","234.7","236.5","229.8","235.1","42920"
"AMC","2014-03-21 13:30:00","232.8","236.9","228.2","230.6","164590"
"AMC","2014-03-24 13:30:00","230","232.3","223","231.8","38550"
"AMC","2014-03-25 13:30:00","233.1","242.1","233","240.1","39840"
"AMC","2014-03-26 13:30:00","240.7","240.7","237","238.6","23820"
"AMC","2014-03-27 13:30:00","237.7","240.7","232.6","234.2","28430"
"AMC","2014-03-28 13:30:00","234.2","239.9","233.8","239","28360"
"AMC","2014-03-31 13:30:00","239.9","242.5","233.8","242.5","233730"
"AMC","2014-04-01 13:30:00","242","247.2","238.7","247.2","37460"
"AMC","2014-04-02 13:30:00","247.3","251.4","245.2","248","32150"
"AMC","2014-04-03 13:30:00","248.6","250","234.4","234.8","37470"
"AMC","2014-04-04 13:30:00","236","237","225.9","230.2","32290"
"AMC","2014-04-07 13:30:00","230.1","231.6","225.4","230.2","23850"
"AMC","2014-04-08 13:30:00","230.4","241.8","228.1","239.7","52200"
"AMC","2014-04-09 13:30:00","240.6","241.2","235.7","236.4","28200"
"AMC","2014-04-10 13:30:00","235.9","236.4","228.8","228.8","11800"
"AMC","2014-04-11 13:30:00","227.3","237.1","219.1","236","58150"
"AMC","2014-04-14 13:30:00","238.8","240.1","235.1","235.9","30520"
"AMC","2014-04-15 13:30:00","236.6","239.4","221.7","224.1","26470"
"AMC","2014-04-16 13:30:00","224.5","226.3","220.2","225.1","19100"
"AMC","2014-04-17 13:30:00","224.4","226.5","216.8","223","36710"
"AMC","2014-04-21 13:30:00","223","236.4","223","233.9","31240"
"AMC","2014-04-22 13:30:00","233.7","234.8","226.5","227.9","20250"
"AMC","2014-04-23 13:30:00","228.2","234.6","227.4","228.7","30210"
"AMC","2014-04-24 13:30:00","229.8","238.6","228.4","233.8","13470"
"AMC","2014-04-25 13:30:00","232.2","232.4","219.5","220.9","32830"
"AMC","2014-04-28 13:30:00","221.7","227","218.7","225.9","28960"
"AMC","2014-04-29 13:30:00","227.3","228.3","221.4","224.8","15100"
"AMC","2014-04-30 13:30:00","225.1","231.8","212.3","231.4","59900"
"AMC","2014-05-01 13:30:00","230.9","240.6","229.5","240","63230"
"AMC","2014-05-02 13:30:00","239.8","245.8","236.3","237.4","34600"
"AMC","2014-05-05 13:30:00","235.7","236.8","228","228.9","19110"
"AMC","2014-05-06 13:30:00","227.7","228.9","221.2","222","23840"
"AMC","2014-05-07 13:30:00","222.4","225","217","220.2","20400"
"AMC","2014-05-08 13:30:00","219.3","222.4","211.2","213.1","19710"
"AMC","2014-05-09 13:30:00","212.4","213.1","209.9","211.4","20250"
"AMC","2014-05-12 13:30:00","211.8","217.1","210","216.1","18970"
"AMC","2014-05-13 13:30:00","215.6","217.8","212.4","216.6","13620"
"AMC","2014-05-14 13:30:00","215.2","216.5","213","214.3","13500"
"AMC","2014-05-15 13:30:00","213","216.3","212.5","214.6","19530"
"AMC","2014-05-16 13:30:00","214.1","214.5","211.3","212.7","26240"
"AMC","2014-05-19 13:30:00","212.5","220.5","211.9","219.6","15640"
"AMC","2014-05-20 13:30:00","219.9","220.8","217.7","219.6","16080"
"AMC","2014-05-21 13:30:00","220","224.1","220","220.8","15150"
"AMC","2014-05-22 13:30:00","220.5","225.2","220.2","223.9","11380"
"AMC","2014-05-23 13:30:00","224.6","227.6","222.8","225.7","9320"
"AMC","2014-05-27 13:30:00","231.1","234.7","230.6","232","17430"
"AMC","2014-05-28 13:30:00","231.8","232.4","223.9","230","19210"
"AMC","2014-05-29 13:30:00","230","230.9","225.6","226.4","30770"
"AMC","2014-05-30 13:30:00","227","230.6","226.3","226.7","24150"
"AMC","2014-06-02 13:30:00","223.3","228.9","220.2","226.1","25940"
"AMC","2014-06-03 13:30:00","225.5","226.8","221.6","225.6","87910"
