Symbol,Date,Open,High,Low,Close,Volume
"GOOGL","2010-01-04 14:30:00","15.69","15.75","15.62","15.68","78169752"
"GOOGL","2010-01-05 14:30:00","15.7","15.71","15.55","15.62","120067812"
"GOOGL","2010-01-06 14:30:00","15.66","15.66","15.17","15.22","158988852"
"GOOGL","2010-01-07 14:30:00","15.25","15.27","14.83","14.87","256315428"
"GOOGL","2010-01-08 14:30:00","14.81","15.1","14.74","15.07","188783028"
"GOOGL","2010-01-11 14:30:00","15.13","15.13","14.87","15.04","288227484"
"GOOGL","2010-01-12 14:30:00","14.96","14.97","14.71","14.78","193937868"
"GOOGL","2010-01-13 14:30:00","14.43","14.72","14.36","14.69","259604136"
"GOOGL","2010-01-14 14:30:00","14.61","14.87","14.58","14.76","169434396"
"GOOGL","2010-01-15 14:30:00","14.85","14.85","14.47","14.51","217162620"
"GOOGL","2010-01-19 14:30:00","14.54","14.78","14.42","14.71","172495332"
"GOOGL","2010-01-20 14:30:00","14.66","14.66","14.4","14.52","129897972"
"GOOGL","2010-01-21 14:30:00","14.6","14.69","14.32","14.59","252055692"
"GOOGL","2010-01-22 14:30:00","14.13","14.28","13.38","13.76","271743984"
"GOOGL","2010-01-25 14:30:00","13.68","13.76","13.4","13.51","176619204"
"GOOGL","2010-01-26 14:30:00","13.46","13.75","13.42","13.57","174045780"
"GOOGL","2010-01-27 14:30:00","13.55","13.7","13.4","13.57","158417424"
"GOOGL","2010-01-28 14:30:00","13.63","13.69","13.28","13.37","129034836"
"GOOGL","2010-01-29 14:30:00","13.48","13.54","13.15","13.26","165454380"
"GOOGL","2010-02-01 14:30:00","13.38","13.41","13.27","13.34","89941968"
"GOOGL","2010-02-02 14:30:00","13.39","13.39","13.2","13.29","163684152"
"GOOGL","2010-02-03 14:30:00","13.23","13.57","13.22","13.53","119844036"
"GOOGL","2010-02-04 14:30:00","13.44","13.46","13.15","13.18","134972892"
"GOOGL","2010-02-05 14:30:00","13.22","13.35","13.07","13.3","126113760"
"GOOGL","2010-02-08 14:30:00","13.33","13.56","13.3","13.35","107664228"
"GOOGL","2010-02-09 14:30:00","13.5","13.55","13.39","13.42","112671216"
"GOOGL","2010-02-10 14:30:00","13.37","13.46","13.21","13.37","106873020"
"GOOGL","2010-02-11 14:30:00","13.35","13.53","13.25","13.42","96303600"
"GOOGL","2010-02-12 14:30:00","13.34","13.44","13.28","13.34","91096812"
"GOOGL","2010-02-16 14:30:00","13.44","13.62","13.37","13.55","146029824"
"GOOGL","2010-02-17 14:30:00","13.56","13.6","13.45","13.47","81106812"
"GOOGL","2010-02-18 14:30:00","13.45","13.64","13.42","13.59","93382524"
"GOOGL","2010-02-19 14:30:00","13.53","13.61","13.51","13.53","102021876"
"GOOGL","2010-02-22 14:30:00","13.7","13.7","13.54","13.58","85698216"
"GOOGL","2010-02-23 14:30:00","13.59","13.6","13.32","13.39","114789096"
"GOOGL","2010-02-24 14:30:00","13.36","13.47","13.28","13.3","92970936"
"GOOGL","2010-02-25 14:30:00","13.19","13.23","13.01","13.17","132235632"
"GOOGL","2010-02-26 14:30:00","13.2","13.31","13.1","13.18","81890028"
"GOOGL","2010-03-01 14:30:00","13.24","13.35","13.21","13.33","89426484"
"GOOGL","2010-03-02 14:30:00","13.4","13.66","13.39","13.54","174097728"
"GOOGL","2010-03-03 14:30:00","13.57","13.72","13.49","13.65","123452424"
"GOOGL","2010-03-04 14:30:00","13.68","13.92","13.67","13.88","127224648"
"GOOGL","2010-03-05 14:30:00","14.05","14.21","14.01","14.12","156331512"
"GOOGL","2010-03-08 14:30:00","14.13","14.14","14.04","14.08","95360544"
"GOOGL","2010-03-09 14:30:00","14.01","14.13","13.93","14.02","126936936"
"GOOGL","2010-03-10 14:30:00","14.11","14.48","14.07","14.43","225969804"
"GOOGL","2010-03-11 14:30:00","14.37","14.67","14.37","14.54","169162668"
"GOOGL","2010-03-12 14:30:00","14.72","14.72","14.49","14.5","110025864"
"GOOGL","2010-03-15 13:30:00","14.18","14.25","13.91","14.09","185969844"
"GOOGL","2010-03-16 13:30:00","14.06","14.22","14.03","14.14","137122740"
"GOOGL","2010-03-17 13:30:00","14.22","14.3","14.12","14.15","132731136"
"GOOGL","2010-03-18 13:30:00","14.13","14.23","14.09","14.17","71016912"
"GOOGL","2010-03-19 13:30:00","14.01","14.21","13.95","14.01","191576232"
"GOOGL","2010-03-22 13:30:00","13.92","14.19","13.87","13.95","160031808"
"GOOGL","2010-03-23 13:30:00","13.94","13.97","13.56","13.74","219831948"
"GOOGL","2010-03-24 13:30:00","13.65","14.01","13.51","13.95","262345392"
"GOOGL","2010-03-25 13:30:00","13.99","14.31","13.98","14.09","157078764"
"GOOGL","2010-03-26 13:30:00","14.15","14.2","14.01","14.08","107740152"
"GOOGL","2010-03-29 13:30:00","14.09","14.13","14.03","14.08","124055820"
"GOOGL","2010-03-30 13:30:00","14.08","14.2","14.02","14.18","79036884"
