Symbol,Date,Open,High,Low,Close,Volume
"GOOG","2010-01-04 14:30:00","15.62","15.68","15.55","15.61","78541293"
"GOOG","2010-01-05 14:30:00","15.62","15.64","15.48","15.54","120638494"
"GOOG","2010-01-06 14:30:00","15.59","15.59","15.1","15.15","159744526"
"GOOG","2010-01-07 14:30:00","15.18","15.19","14.76","14.8","257533695"
"GOOG","2010-01-08 14:30:00","14.74","15.02","14.67","14.99","189680313"
"GOOG","2010-01-11 14:30:00","15.06","15.06","14.8","14.97","289597429"
"GOOG","2010-01-12 14:30:00","14.89","14.9","14.65","14.71","194859654"
"GOOG","2010-01-13 14:30:00","14.36","14.65","14.29","14.62","260838034"
"GOOG","2010-01-14 14:30:00","14.54","14.8","14.52","14.69","170239717"
"GOOG","2010-01-15 14:30:00","14.78","14.78","14.4","14.45","218194794"
"GOOG","2010-01-19 14:30:00","14.48","14.71","14.35","14.64","173315202"
"GOOG","2010-01-20 14:30:00","14.59","14.59","14.33","14.46","130515377"
"GOOG","2010-01-21 14:30:00","14.53","14.62","14.25","14.52","253253712"
"GOOG","2010-01-22 14:30:00","14.06","14.21","13.32","13.7","273035583"
"GOOG","2010-01-25 14:30:00","13.61","13.7","13.34","13.45","177458675"
"GOOG","2010-01-26 14:30:00","13.4","13.69","13.36","13.51","174873019"
"GOOG","2010-01-27 14:30:00","13.48","13.64","13.33","13.5","159170382"
"GOOG","2010-01-28 14:30:00","13.56","13.62","13.22","13.31","129648138"
"GOOG","2010-01-29 14:30:00","13.41","13.47","13.09","13.2","166240784"
"GOOG","2010-02-01 14:30:00","13.32","13.35","13.21","13.28","90369462"
"GOOG","2010-02-02 14:30:00","13.32","13.32","13.14","13.23","164462143"
"GOOG","2010-02-03 14:30:00","13.17","13.5","13.16","13.47","120413655"
"GOOG","2010-02-04 14:30:00","13.37","13.4","13.09","13.12","135614418"
"GOOG","2010-02-05 14:30:00","13.16","13.29","13.01","13.23","126713179"
"GOOG","2010-02-08 14:30:00","13.26","13.5","13.24","13.29","108175956"
"GOOG","2010-02-09 14:30:00","13.44","13.49","13.33","13.36","113206742"
"GOOG","2010-02-10 14:30:00","13.3","13.39","13.14","13.31","107380987"
"GOOG","2010-02-11 14:30:00","13.28","13.46","13.19","13.36","96761331"
"GOOG","2010-02-12 14:30:00","13.27","13.38","13.21","13.28","91529795"
"GOOG","2010-02-16 14:30:00","13.37","13.55","13.31","13.48","146723904"
"GOOG","2010-02-17 14:30:00","13.5","13.53","13.39","13.41","81492313"
"GOOG","2010-02-18 14:30:00","13.39","13.57","13.35","13.53","93826371"
"GOOG","2010-02-19 14:30:00","13.46","13.55","13.44","13.47","102506786"
"GOOG","2010-02-22 14:30:00","13.63","13.64","13.47","13.52","86105539"
"GOOG","2010-02-23 14:30:00","13.52","13.54","13.26","13.33","115334688"
"GOOG","2010-02-24 14:30:00","13.3","13.41","13.21","13.24","93412827"
"GOOG","2010-02-25 14:30:00","13.13","13.16","12.95","13.11","132864148"
"GOOG","2010-02-26 14:30:00","13.14","13.24","13.04","13.12","82279251"
"GOOG","2010-03-01 14:30:00","13.18","13.28","13.14","13.27","89851528"
"GOOG","2010-03-02 14:30:00","13.34","13.59","13.33","13.48","174925214"
"GOOG","2010-03-03 14:30:00","13.51","13.65","13.43","13.58","124039193"
"GOOG","2010-03-04 14:30:00","13.61","13.85","13.6","13.81","127829347"
"GOOG","2010-03-05 14:30:00","13.98","14.14","13.95","14.05","157074555"
"GOOG","2010-03-08 14:30:00","14.07","14.08","13.97","14.01","95813793"
"GOOG","2010-03-09 14:30:00","13.94","14.06","13.86","13.95","127540267"
"GOOG","2010-03-10 14:30:00","14.04","14.41","14","14.36","227043838"
"GOOG","2010-03-11 14:30:00","14.3","14.6","14.3","14.47","169966698"
"GOOG","2010-03-12 14:30:00","14.65","14.65","14.42","14.43","110548817"
"GOOG","2010-03-15 13:30:00","14.11","14.18","13.85","14.03","186853758"
"GOOG","2010-03-16 13:30:00","13.99","14.16","13.97","14.08","137774484"
"GOOG","2010-03-17 13:30:00","14.15","14.23","14.05","14.09","133362007"
"GOOG","2010-03-18 13:30:00","14.07","14.16","14.02","14.11","71354455"
"GOOG","2010-03-19 13:30:00","13.95","14.15","13.88","13.95","192486794"
"GOOG","2010-03-22 13:30:00","13.85","14.12","13.81","13.89","160792439"
"GOOG","2010-03-23 13:30:00","13.87","13.91","13.5","13.67","220876809"
"GOOG","2010-03-24 13:30:00","13.59","13.94","13.44","13.88","263592319"
"GOOG","2010-03-25 13:30:00","13.92","14.25","13.91","14.02","157825359"
"GOOG","2010-03-26 13:30:00","14.08","14.13","13.95","14.01","108252241"
"GOOG","2010-03-29 13:30:00","14.02","14.07","13.96","14.01","124645457"
"GOOG","2010-03-30 13:30:00","14.02","14.14","13.95","14.11","79412546"
"GOOG","2010-03-31 13:30:00","14.07","14.19","14.02","14.13","121686407"
"GOOG","2010-04-01 13:30:00","14.23","14.28","14.09","14.17","84423257"
"GOOG","2010-04-05 13:30:00","14.22","14.32","14.17","14.22","76345092"
"GOOG","2010-04-06 13:30:00","14.18","14.22","14.08","14.15","82712870"
"GOOG","2010-04-07 13:30:00","14.13","14.17","13.99","14.04","103626969"
"GOOG","2010-04-08 13:30:00","14.03","14.19","13.95","14.13","78191988"
"GOOG","2010-04-09 13:30:00","14.13","14.17","14.05","14.1","82572346"
"GOOG","2010-04-12 13:30:00","14.13","14.3","14.1","14.26","94448695"
"GOOG","2010-04-13 13:30:00","14.26","14.67","14.22","14.61","157078570"
"GOOG","2010-04-14 13:30:00","14.7","14.75","14.55","14.67","136618166"
"GOOG","2010-04-15 13:30:00","14.75","14.89","14.65","14.83","271485795"
"GOOG","2010-04-16 13:30:00","14.02","14.17","13.69","13.7","491254466"
"GOOG","2010-04-19 13:30:00","13.67","13.8","13.57","13.7","156343827"
"GOOG","2010-04-20 13:30:00","13.8","13.94","13.73","13.82","119542401"
"GOOG","2010-04-21 13:30:00","13.86","13.95","13.75","13.81","96018557"
"GOOG","2010-04-22 13:30:00","13.75","13.76","13.53","13.63","131719875"
"GOOG","2010-04-23 13:30:00","13.63","13.68","13.51","13.57","83889263"
"GOOG","2010-04-26 13:30:00","13.57","13.57","13.18","13.24","175407013"
"GOOG","2010-04-27 13:30:00","13.17","13.41","13.13","13.18","154364435"
"GOOG","2010-04-28 13:30:00","13.25","13.32","12.98","13.18","136754676"
"GOOG","2010-04-29 13:30:00","13.28","13.36","13.12","13.25","122814620"
"GOOG","2010-04-30 13:30:00","13.23","13.39","13.09","13.09","97781139"
"GOOG","2010-05-03 13:30:00","13.11","13.27","13.08","13.22","74590540"
"GOOG","2010-05-04 13:30:00","13.11","13.12","12.56","12.61","243963019"
"GOOG","2010-05-05 13:30:00","12.48","12.84","12.47","12.7","183975008"
"GOOG","2010-05-06 13:30:00","12.67","12.89","11.46","12.42","200753664"
"GOOG","2010-05-07 13:30:00","12.45","12.59","11.99","12.28","204322993"
"GOOG","2010-05-10 13:30:00","12.8","13.02","12.77","12.99","165738910"
"GOOG","2010-05-11 13:30:00","12.84","12.95","12.66","12.68","133402157"
"GOOG","2010-05-12 13:30:00","12.75","12.75","12.5","12.59","154649500"
"GOOG","2010-05-13 13:30:00","12.86","13","12.71","12.72","133530637"
"GOOG","2010-05-14 13:30:00","12.7","12.73","12.36","12.64","165257111"
"GOOG","2010-05-17 13:30:00","12.62","12.66","12.41","12.65","112170874"
"GOOG","2010-05-18 13:30:00","12.7","12.73","12.38","12.41","113443627"
"GOOG","2010-05-19 13:30:00","12.36","12.44","12.15","12.31","138344613"
"GOOG","2010-05-20 13:30:00","12.08","12.09","11.8","11.83","197268650"
"GOOG","2010-05-21 13:30:00","11.68","12.08","11.57","11.76","389084940"
"GOOG","2010-05-24 13:30:00","11.97","12.2","11.88","11.88","174475535"
"GOOG","2010-05-25 13:30:00","11.66","11.89","11.56","11.88","121148398"
"GOOG","2010-05-26 13:30:00","12.01","12.2","11.83","11.84","139545096"
"GOOG","2010-05-27 13:30:00","12.08","12.26","11.98","12.22","112785168"
"GOOG","2010-05-28 13:30:00","12.27","12.29","12.03","12.1","116226017"
"GOOG","2010-06-01 13:30:00","11.97","12.23","11.96","12.01","107071833"
"GOOG","2010-06-02 13:30:00","12.12","12.3","11.99","12.29","102012942"
"GOOG","2010-06-03 13:30:00","12.33","12.65","12.32","12.59","146575349"
"GOOG","2010-06-04 13:30:00","12.45","12.68","12.37","12.42","157399770"
"GOOG","2010-06-07 13:30:00","12.43","12.48","12.03","12.09","145852650"
"GOOG","2010-06-08 13:30:00","12.15","12.18","11.89","12.07","107806577"
"GOOG","2010-06-09 13:30:00","12.14","12.18","11.76","11.81","109569158"
"GOOG","2010-06-10 13:30:00","11.96","12.17","11.85","12.13","103502504"
"GOOG","2010-06-11 13:30:00","12.02","12.17","12","12.17","71535130"
"GOOG","2010-06-14 13:30:00","12.32","12.32","12.03","12.03","81921917"
"GOOG","2010-06-15 13:30:00","12.03","12.46","12.01","12.4","171022641"
"GOOG","2010-06-16 13:30:00","12.36","12.55","12.36","12.48","91915234"
"GOOG","2010-06-17 13:30:00","12.54","12.6","12.37","12.46","79388456"
"GOOG","2010-06-18 13:30:00","12.52","12.54","12.41","12.45","115346733"
"GOOG","2010-06-21 13:30:00","12.45","12.48","12.08","12.17","119787316"
"GOOG","2010-06-22 13:30:00","12.2","12.37","12.1","12.11","89120799"
"GOOG","2010-06-23 13:30:00","12.13","12.13","11.91","12.01","81468223"
"GOOG","2010-06-24 13:30:00","11.95","12.02","11.79","11.83","76027907"
"GOOG","2010-06-25 13:30:00","11.88","11.9","11.72","11.77","90144622"
"GOOG","2010-06-28 13:30:00","11.77","11.89","11.68","11.76","70756221"
"GOOG","2010-06-29 13:30:00","11.54","11.57","11.24","11.31","140609069"
"GOOG","2010-06-30 13:30:00","11.33","11.4","11.08","11.08","144668227"
"GOOG","2010-07-01 13:30:00","11.09","11.17","10.8","10.95","141070793"
"GOOG","2010-07-02 13:30:00","11","11.02","10.86","10.87","77730264"
"GOOG","2010-07-06 13:30:00","11.06","11.15","10.8","10.86","102787835"
"GOOG","2010-07-07 13:30:00","10.92","11.24","10.84","11.21","125657235"
"GOOG","2010-07-08 13:30:00","11.3","11.39","11.2","11.37","107156148"
"GOOG","2010-07-09 13:30:00","11.75","11.79","11.53","11.64","173909421"
"GOOG","2010-07-12 13:30:00","11.77","11.94","11.73","11.85","133875926"
"GOOG","2010-07-13 13:30:00","12.01","12.28","11.96","12.18","159648166"
"GOOG","2010-07-14 13:30:00","12.2","12.3","12.12","12.24","125187481"
