Symbol,Date,Open,High,Low,Close,Volume
"INTC","2025-08-15 08:00:00","24.93","24.95","24.87","24.92","0"
"INTC","2025-08-15 08:02:00","24.92","24.99","24.92","24.94","0"
"INTC","2025-08-15 08:04:00","24.95","24.99","24.94","24.96","0"
"INTC","2025-08-15 08:06:00","24.97","24.97","24.92","24.94","0"
"INTC","2025-08-15 08:08:00","24.94","24.95","24.74","24.74","0"
"INTC","2025-08-15 08:10:00","24.75","24.9","24.74","24.84","0"
"INTC","2025-08-15 08:12:00","24.85","24.86","24.71","24.71","0"
"INTC","2025-08-15 08:14:00","24.7","24.81","24.68","24.74","0"
"INTC","2025-08-15 08:16:00","24.74","24.77","24.74","24.75","0"
"INTC","2025-08-15 08:18:00","24.74","24.79","24.74","24.79","0"
"INTC","2025-08-15 08:20:00","24.79","24.83","24.78","24.78","0"
"INTC","2025-08-15 08:22:00","24.78","24.78","24.67","24.68","0"
"INTC","2025-08-15 08:24:00","24.68","24.69","24.65","24.68","0"
"INTC","2025-08-15 08:26:00","24.66","24.66","24.52","24.54","0"
"INTC","2025-08-15 08:28:00","24.54","24.65","24.47","24.57","0"
"INTC","2025-08-15 08:30:00","24.57","24.58","24.33","24.45","0"
"INTC","2025-08-15 08:32:00","24.45","24.49","24.31","24.37","0"
"INTC","2025-08-15 08:34:00","24.38","24.49","24.38","24.49","0"
"INTC","2025-08-15 08:36:00","24.49","24.5","24.42","24.45","0"
"INTC","2025-08-15 08:38:00","24.45","24.46","24.43","24.45","0"
"INTC","2025-08-15 08:40:00","24.45","24.5","24.38","24.44","0"
"INTC","2025-08-15 08:42:00","24.44","24.45","24.42","24.43","0"
"INTC","2025-08-15 08:44:00","24.43","24.46","24.41","24.41","0"
"INTC","2025-08-15 08:46:00","24.41","24.41","24.22","24.25","0"
"INTC","2025-08-15 08:48:00","24.25","24.43","24.25","24.4","0"
"INTC","2025-08-15 08:50:00","24.4","24.47","24.4","24.47","0"
"INTC","2025-08-15 08:52:00","24.47","24.53","24.46","24.48","0"
"INTC","2025-08-15 08:54:00","24.47","24.52","24.41","24.52","0"
"INTC","2025-08-15 08:56:00","24.53","24.54","24.43","24.45","0"
"INTC","2025-08-15 08:58:00","24.43","24.48","24.43","24.48","0"
"INTC","2025-08-15 09:00:00","24.48","24.49","24.46","24.47","0"
"INTC","2025-08-15 09:02:00","24.47","24.48","24.46","24.47","0"
"INTC","2025-08-15 09:04:00","24.47","24.47","24.45","24.45","0"
"INTC","2025-08-15 09:06:00","24.44","24.44","24.43","24.44","0"
"INTC","2025-08-15 09:08:00","24.43","24.44","24.38","24.41","0"
"INTC","2025-08-15 09:10:00","24.41","24.42","24.38","24.38","0"
"INTC","2025-08-15 09:12:00","24.37","24.42","24.33","24.42","0"
"INTC","2025-08-15 09:14:00","24.42","24.53","24.41","24.52","0"
"INTC","2025-08-15 09:16:00","24.51","24.51","24.44","24.45","0"
"INTC","2025-08-15 09:18:00","24.45","24.5","24.45","24.47","0"
"INTC","2025-08-15 09:20:00","24.49","24.5","24.47","24.49","0"
"INTC","2025-08-15 09:22:00","24.5","24.5","24.45","24.49","0"
"INTC","2025-08-15 09:24:00","24.49","24.52","24.49","24.51","0"
"INTC","2025-08-15 09:26:00","24.52","24.57","24.52","24.54","0"
"INTC","2025-08-15 09:28:00","24.53","24.57","24.53","24.57","0"
"INTC","2025-08-15 09:30:00","24.57","24.59","24.53","24.53","0"
"INTC","2025-08-15 09:32:00","24.53","24.53","24.48","24.48","0"
"INTC","2025-08-15 09:34:00","24.47","24.5","24.45","24.5","0"
"INTC","2025-08-15 09:36:00","24.52","24.53","24.51","24.52","0"
"INTC","2025-08-15 09:38:00","24.53","24.56","24.52","24.55","0"
