Symbol,Date,Open,High,Low,Close,Volume
"INTC","2010-01-04 14:30:00","20.79","21.03","20.73","20.88","47800900"
"INTC","2010-01-05 14:30:00","20.94","20.99","20.6","20.87","52357700"
"INTC","2010-01-06 14:30:00","20.81","20.93","20.67","20.8","40037400"
"INTC","2010-01-07 14:30:00","20.73","20.76","20.34","20.6","54041500"
"INTC","2010-01-08 14:30:00","20.54","20.89","20.4","20.83","48234700"
"INTC","2010-01-11 14:30:00","21.11","21.15","20.82","20.95","51086400"
"INTC","2010-01-12 14:30:00","20.87","20.9","20.38","20.61","69958400"
"INTC","2010-01-13 14:30:00","20.72","21.08","20.44","20.96","71446700"
"INTC","2010-01-14 14:30:00","21.11","21.55","21.05","21.48","150821600"
"INTC","2010-01-15 14:30:00","21.39","21.4","20.77","20.8","198078600"
"INTC","2010-01-19 14:30:00","20.9","21.17","20.85","21.05","82573500"
"INTC","2010-01-20 14:30:00","20.99","21.14","20.85","21.08","65670100"
"INTC","2010-01-21 14:30:00","21.15","21.31","20.68","20.84","73633300"
"INTC","2010-01-22 14:30:00","20.77","20.79","19.81","19.91","116302400"
"INTC","2010-01-25 14:30:00","20.24","20.58","20.14","20.32","73785600"
"INTC","2010-01-26 14:30:00","20.18","20.38","19.95","20","65298900"
"INTC","2010-01-27 14:30:00","20","20.33","19.82","20.24","74926200"
"INTC","2010-01-28 14:30:00","20.3","20.39","19.68","19.92","76974600"
"INTC","2010-01-29 14:30:00","20.13","20.23","19.3","19.4","96053900"
"INTC","2010-02-01 14:30:00","19.47","19.75","19.44","19.61","50338300"
"INTC","2010-02-02 14:30:00","19.68","20.04","19.56","19.91","63332500"
"INTC","2010-02-03 14:30:00","19.78","19.88","19.47","19.68","45582300"
"INTC","2010-02-04 14:30:00","19.57","19.58","18.95","19.02","90931100"
"INTC","2010-02-05 14:30:00","19.1","19.58","19","19.47","88711700"
"INTC","2010-02-08 14:30:00","19.48","19.79","19.3","19.35","62563200"
"INTC","2010-02-09 14:30:00","19.64","19.89","19.44","19.65","69454100"
"INTC","2010-02-10 14:30:00","19.59","19.87","19.45","19.69","56250600"
"INTC","2010-02-11 14:30:00","19.63","20.2","19.55","20.06","58837300"
"INTC","2010-02-12 14:30:00","19.96","20.68","19.79","20.43","91108900"
"INTC","2010-02-16 14:30:00","20.62","20.85","20.55","20.72","69083400"
"INTC","2010-02-17 14:30:00","20.86","20.86","20.53","20.66","47296700"
"INTC","2010-02-18 14:30:00","20.64","20.85","20.55","20.84","42613600"
"INTC","2010-02-19 14:30:00","20.72","20.97","20.58","20.82","40760000"
"INTC","2010-02-22 14:30:00","20.95","20.96","20.65","20.87","38730600"
"INTC","2010-02-23 14:30:00","20.84","20.95","20.29","20.39","62245300"
"INTC","2010-02-24 14:30:00","20.52","20.81","20.5","20.7","51070100"
"INTC","2010-02-25 14:30:00","20.37","20.66","20.22","20.63","48789400"
"INTC","2010-02-26 14:30:00","20.6","20.68","20.43","20.53","47795300"
"INTC","2010-03-01 14:30:00","20.68","20.94","20.62","20.87","51203300"
"INTC","2010-03-02 14:30:00","20.99","21.09","20.58","20.7","59399000"
"INTC","2010-03-03 14:30:00","20.76","20.82","20.44","20.52","49909900"
"INTC","2010-03-04 14:30:00","20.6","20.61","20.26","20.53","62750100"
"INTC","2010-03-05 14:30:00","20.66","20.84","20.45","20.79","45879700"
