Symbol,Date,Open,High,Low,Close,Volume
"MSFT","2010-01-04 14:30:00","30.62","31.1","30.59","30.95","38409100"
"MSFT","2010-01-05 14:30:00","30.85","31.1","30.64","30.96","49749600"
"MSFT","2010-01-06 14:30:00","30.88","31.08","30.52","30.77","58182400"
"MSFT","2010-01-07 14:30:00","30.63","30.7","30.19","30.45","50559700"
"MSFT","2010-01-08 14:30:00","30.28","30.88","30.24","30.66","51197400"
"MSFT","2010-01-11 14:30:00","30.71","30.76","30.12","30.27","68754700"
"MSFT","2010-01-12 14:30:00","30.15","30.4","29.91","30.07","65912100"
"MSFT","2010-01-13 14:30:00","30.26","30.52","30.01","30.35","51863500"
"MSFT","2010-01-14 14:30:00","30.31","31.1","30.26","30.96","63228100"
"MSFT","2010-01-15 14:30:00","31.08","31.24","30.71","30.86","79913200"
"MSFT","2010-01-19 14:30:00","30.75","31.24","30.68","31.1","46575700"
"MSFT","2010-01-20 14:30:00","30.81","30.94","30.31","30.59","54849500"
"MSFT","2010-01-21 14:30:00","30.61","30.72","30","30.01","73086700"
"MSFT","2010-01-22 14:30:00","30","30.2","28.84","28.96","102004600"
"MSFT","2010-01-25 14:30:00","29.24","29.66","29.1","29.32","63373000"
"MSFT","2010-01-26 14:30:00","29.2","29.85","29.09","29.5","66639900"
"MSFT","2010-01-27 14:30:00","29.35","29.82","29.02","29.67","63949500"
"MSFT","2010-01-28 14:30:00","29.84","29.87","28.89","29.16","117513700"
"MSFT","2010-01-29 14:30:00","29.9","29.92","27.66","28.18","193888500"
"MSFT","2010-02-01 14:30:00","28.39","28.48","27.92","28.41","85931100"
"MSFT","2010-02-02 14:30:00","28.37","28.5","28.14","28.46","54413700"
"MSFT","2010-02-03 14:30:00","28.26","28.79","28.12","28.63","61397900"
"MSFT","2010-02-04 14:30:00","28.38","28.5","27.81","27.84","77850000"
"MSFT","2010-02-05 14:30:00","28","28.28","27.57","28.02","80960100"
"MSFT","2010-02-08 14:30:00","28.01","28.08","27.57","27.72","52820600"
"MSFT","2010-02-09 14:30:00","27.97","28.34","27.75","28.01","59195800"
"MSFT","2010-02-10 14:30:00","28.03","28.24","27.84","27.99","48591300"
"MSFT","2010-02-11 14:30:00","27.93","28.4","27.7","28.12","65993700"
"MSFT","2010-02-12 14:30:00","27.81","28.06","27.58","27.93","81117200"
"MSFT","2010-02-16 14:30:00","28.13","28.37","28.02","28.35","51935600"
