Symbol,Date,Open,High,Low,Close,Volume
"SMCI","2010-01-04 14:30:00","1.13","1.16","1.11","1.15","1396000"
"SMCI","2010-01-05 14:30:00","1.15","1.16","1.12","1.13","1158000"
"SMCI","2010-01-06 14:30:00","1.12","1.15","1.11","1.15","853000"
"SMCI","2010-01-07 14:30:00","1.14","1.16","1.14","1.16","1147000"
"SMCI","2010-01-08 14:30:00","1.16","1.17","1.15","1.17","578000"
"SMCI","2010-01-11 14:30:00","1.17","1.17","1.15","1.17","583000"
"SMCI","2010-01-12 14:30:00","1.16","1.17","1.15","1.15","794000"
"SMCI","2010-01-13 14:30:00","1.16","1.3","1.15","1.3","4470000"
"SMCI","2010-01-14 14:30:00","1.29","1.3","1.25","1.26","1269000"
"SMCI","2010-01-15 14:30:00","1.27","1.29","1.25","1.28","1653000"
"SMCI","2010-01-19 14:30:00","1.28","1.31","1.28","1.3","2295000"
"SMCI","2010-01-20 14:30:00","1.29","1.31","1.23","1.24","1809000"
"SMCI","2010-01-21 14:30:00","1.24","1.25","1.18","1.18","1182000"
"SMCI","2010-01-22 14:30:00","1.18","1.21","1.14","1.15","2768000"
"SMCI","2010-01-25 14:30:00","1.16","1.2","1.16","1.18","1390000"
"SMCI","2010-01-26 14:30:00","1.18","1.19","1.16","1.16","1501000"
"SMCI","2010-01-27 14:30:00","1.3","1.38","1.28","1.35","9419000"
"SMCI","2010-01-28 14:30:00","1.36","1.36","1.27","1.29","1715000"
"SMCI","2010-01-29 14:30:00","1.3","1.32","1.23","1.24","2243000"
"SMCI","2010-02-01 14:30:00","1.25","1.29","1.23","1.25","2106000"
"SMCI","2010-02-02 14:30:00","1.25","1.27","1.24","1.27","2105000"
"SMCI","2010-02-03 14:30:00","1.27","1.3","1.23","1.24","1294000"
"SMCI","2010-02-04 14:30:00","1.23","1.24","1.16","1.19","1864000"
"SMCI","2010-02-05 14:30:00","1.2","1.24","1.17","1.24","1706000"
"SMCI","2010-02-08 14:30:00","1.23","1.28","1.22","1.26","1811000"
"SMCI","2010-02-09 14:30:00","1.28","1.28","1.26","1.27","887000"
"SMCI","2010-02-10 14:30:00","1.26","1.29","1.23","1.29","1460000"
"SMCI","2010-02-11 14:30:00","1.28","1.33","1.26","1.33","1831000"
"SMCI","2010-02-12 14:30:00","1.31","1.36","1.25","1.36","4120000"
"SMCI","2010-02-16 14:30:00","1.37","1.48","1.35","1.46","8349000"
"SMCI","2010-02-17 14:30:00","1.46","1.5","1.45","1.47","4877000"
"SMCI","2010-02-18 14:30:00","1.47","1.49","1.44","1.48","1950000"
"SMCI","2010-02-19 14:30:00","1.47","1.47","1.42","1.46","1693000"
"SMCI","2010-02-22 14:30:00","1.46","1.49","1.46","1.47","1733000"
"SMCI","2010-02-23 14:30:00","1.47","1.47","1.41","1.43","3055000"
"SMCI","2010-02-24 14:30:00","1.43","1.47","1.43","1.47","1433000"
"SMCI","2010-02-25 14:30:00","1.44","1.46","1.43","1.45","2401000"
"SMCI","2010-02-26 14:30:00","1.44","1.51","1.44","1.5","7287000"
"SMCI","2010-03-01 14:30:00","1.51","1.62","1.5","1.59","8535000"
"SMCI","2010-03-02 14:30:00","1.61","1.65","1.58","1.61","6437000"
"SMCI","2010-03-03 14:30:00","1.62","1.64","1.6","1.61","2563000"
"SMCI","2010-03-04 14:30:00","1.6","1.62","1.58","1.59","625000"
"SMCI","2010-03-05 14:30:00","1.6","1.64","1.6","1.63","2475000"
"SMCI","2010-03-08 14:30:00","1.64","1.67","1.63","1.64","1269000"
"SMCI","2010-03-09 14:30:00","1.64","1.66","1.63","1.65","1854000"
"SMCI","2010-03-10 14:30:00","1.65","1.71","1.65","1.66","2920000"
"SMCI","2010-03-11 14:30:00","1.65","1.69","1.64","1.65","762000"
"SMCI","2010-03-12 14:30:00","1.68","1.68","1.62","1.65","1395000"
"SMCI","2010-03-15 13:30:00","1.64","1.65","1.59","1.61","1031000"
"SMCI","2010-03-16 13:30:00","1.62","1.62","1.56","1.62","1771000"
"SMCI","2010-03-17 13:30:00","1.62","1.75","1.57","1.74","6198000"
"SMCI","2010-03-18 13:30:00","1.75","1.75","1.68","1.69","1645000"
"SMCI","2010-03-19 13:30:00","1.72","1.79","1.65","1.72","5487000"
"SMCI","2010-03-22 13:30:00","1.7","1.79","1.69","1.75","5393000"
"SMCI","2010-03-23 13:30:00","1.77","1.81","1.77","1.78","2921000"
"SMCI","2010-03-24 13:30:00","1.78","1.8","1.72","1.73","1438000"
"SMCI","2010-03-25 13:30:00","1.74","1.77","1.68","1.68","1764000"
"SMCI","2010-03-26 13:30:00","1.68","1.73","1.66","1.68","2850000"
"SMCI","2010-03-29 13:30:00","1.68","1.71","1.67","1.71","1736000"
"SMCI","2010-03-30 13:30:00","1.72","1.74","1.68","1.69","1198000"
"SMCI","2010-03-31 13:30:00","1.69","1.8","1.68","1.73","4660000"
"SMCI","2010-04-01 13:30:00","1.74","1.75","1.7","1.74","2484000"
"SMCI","2010-04-05 13:30:00","1.75","1.76","1.73","1.75","2610000"
"SMCI","2010-04-06 13:30:00","1.74","1.75","1.72","1.74","1622000"
"SMCI","2010-04-07 13:30:00","1.74","1.75","1.73","1.74","2041000"
"SMCI","2010-04-08 13:30:00","1.73","1.74","1.7","1.72","1402000"
"SMCI","2010-04-09 13:30:00","1.72","1.73","1.7","1.72","1072000"
"SMCI","2010-04-12 13:30:00","1.73","1.81","1.73","1.78","3101000"
"SMCI","2010-04-13 13:30:00","1.78","1.78","1.76","1.77","819000"
"SMCI","2010-04-14 13:30:00","1.79","1.88","1.77","1.83","4719000"
"SMCI","2010-04-15 13:30:00","1.84","1.85","1.8","1.81","2109000"
"SMCI","2010-04-16 13:30:00","1.8","1.82","1.76","1.79","1812000"
"SMCI","2010-04-19 13:30:00","1.78","1.8","1.7","1.73","2912000"
"SMCI","2010-04-20 13:30:00","1.74","1.78","1.71","1.78","1232000"
"SMCI","2010-04-21 13:30:00","1.77","1.83","1.76","1.81","1450000"
"SMCI","2010-04-22 13:30:00","1.79","1.86","1.75","1.86","1586000"
"SMCI","2010-04-23 13:30:00","1.87","1.89","1.84","1.89","1923000"
"SMCI","2010-04-26 13:30:00","1.89","1.96","1.88","1.89","4737000"
"SMCI","2010-04-27 13:30:00","1.89","1.91","1.79","1.79","2486000"
"SMCI","2010-04-28 13:30:00","1.57","1.58","1.43","1.51","18178000"
"SMCI","2010-04-29 13:30:00","1.48","1.59","1.43","1.55","10338000"
"SMCI","2010-04-30 13:30:00","1.53","1.53","1.42","1.42","4592000"
"SMCI","2010-05-03 13:30:00","1.41","1.45","1.38","1.41","4634000"
"SMCI","2010-05-04 13:30:00","1.39","1.4","1.35","1.37","3254000"
"SMCI","2010-05-05 13:30:00","1.36","1.38","1.32","1.34","2618000"
"SMCI","2010-05-06 13:30:00","1.33","1.37","1.29","1.31","2833000"
"SMCI","2010-05-07 13:30:00","1.3","1.35","1.28","1.3","3702000"
"SMCI","2010-05-10 13:30:00","1.39","1.41","1.34","1.38","2615000"
"SMCI","2010-05-11 13:30:00","1.36","1.41","1.34","1.38","1626000"
"SMCI","2010-05-12 13:30:00","1.4","1.48","1.4","1.48","4341000"
"SMCI","2010-05-13 13:30:00","1.48","1.48","1.41","1.43","2479000"
"SMCI","2010-05-14 13:30:00","1.42","1.42","1.38","1.41","1460000"
"SMCI","2010-05-17 13:30:00","1.42","1.44","1.32","1.38","1980000"
"SMCI","2010-05-18 13:30:00","1.4","1.42","1.31","1.33","1620000"
"SMCI","2010-05-19 13:30:00","1.32","1.35","1.29","1.35","2597000"
"SMCI","2010-05-20 13:30:00","1.31","1.33","1.27","1.28","3475000"
"SMCI","2010-05-21 13:30:00","1.27","1.32","1.26","1.29","2760000"
"SMCI","2010-05-24 13:30:00","1.28","1.3","1.25","1.26","1342000"
"SMCI","2010-05-25 13:30:00","1.23","1.27","1.2","1.27","2192000"
"SMCI","2010-05-26 13:30:00","1.28","1.34","1.23","1.24","3053000"
"SMCI","2010-05-27 13:30:00","1.28","1.38","1.24","1.38","3850000"
"SMCI","2010-05-28 13:30:00","1.37","1.4","1.35","1.38","5914000"
"SMCI","2010-06-01 13:30:00","1.36","1.37","1.27","1.27","2691000"
"SMCI","2010-06-02 13:30:00","1.27","1.27","1.23","1.24","2525000"
"SMCI","2010-06-03 13:30:00","1.24","1.31","1.23","1.3","1860000"
"SMCI","2010-06-04 13:30:00","1.26","1.28","1.2","1.22","2048000"
"SMCI","2010-06-07 13:30:00","1.22","1.27","1.19","1.2","2485000"
"SMCI","2010-06-08 13:30:00","1.2","1.23","1.17","1.23","3175000"
"SMCI","2010-06-09 13:30:00","1.25","1.28","1.22","1.24","1463000"
"SMCI","2010-06-10 13:30:00","1.28","1.28","1.24","1.28","1063000"
"SMCI","2010-06-11 13:30:00","1.25","1.35","1.25","1.34","1355000"
"SMCI","2010-06-14 13:30:00","1.36","1.4","1.35","1.4","1815000"
"SMCI","2010-06-15 13:30:00","1.4","1.42","1.37","1.39","2219000"
"SMCI","2010-06-16 13:30:00","1.38","1.45","1.37","1.44","1770000"
"SMCI","2010-06-17 13:30:00","1.46","1.46","1.39","1.45","1281000"
"SMCI","2010-06-18 13:30:00","1.45","1.46","1.41","1.45","1692000"
"SMCI","2010-06-21 13:30:00","1.47","1.5","1.41","1.42","1626000"
"SMCI","2010-06-22 13:30:00","1.43","1.47","1.43","1.46","1439000"
"SMCI","2010-06-23 13:30:00","1.46","1.47","1.44","1.45","1318000"
"SMCI","2010-06-24 13:30:00","1.44","1.45","1.39","1.39","902000"
"SMCI","2010-06-25 13:30:00","1.39","1.42","1.37","1.42","5026000"
"SMCI","2010-06-28 13:30:00","1.42","1.43","1.39","1.4","1006000"
"SMCI","2010-06-29 13:30:00","1.36","1.39","1.3","1.31","2720000"
"SMCI","2010-06-30 13:30:00","1.3","1.39","1.3","1.35","1397000"
"SMCI","2010-07-01 13:30:00","1.35","1.38","1.26","1.3","1631000"
"SMCI","2010-07-02 13:30:00","1.31","1.31","1.27","1.29","821000"
"SMCI","2010-07-06 13:30:00","1.31","1.33","1.25","1.26","1459000"
"SMCI","2010-07-07 13:30:00","1.26","1.32","1.25","1.32","1405000"
"SMCI","2010-07-08 13:30:00","1.33","1.35","1.31","1.35","1044000"
"SMCI","2010-07-09 13:30:00","1.35","1.42","1.34","1.42","1529000"
"SMCI","2010-07-12 13:30:00","1.42","1.45","1.39","1.4","745000"
"SMCI","2010-07-13 13:30:00","1.43","1.48","1.41","1.47","1574000"
"SMCI","2010-07-14 13:30:00","1.5","1.52","1.47","1.48","5612000"
"SMCI","2010-07-15 13:30:00","1.48","1.48","1.41","1.44","2201000"
"SMCI","2010-07-16 13:30:00","1.42","1.44","1.36","1.39","1793000"
"SMCI","2010-07-19 13:30:00","1.39","1.39","1.35","1.38","1431000"
"SMCI","2010-07-20 13:30:00","1.35","1.45","1.32","1.45","2081000"
"SMCI","2010-07-21 13:30:00","1.46","1.49","1.44","1.44","1230000"
"SMCI","2010-07-22 13:30:00","1.46","1.5","1.46","1.47","1833000"
"SMCI","2010-07-23 13:30:00","1.46","1.52","1.45","1.5","1497000"
"SMCI","2010-07-26 13:30:00","1.5","1.56","1.5","1.54","1495000"
"SMCI","2010-07-27 13:30:00","1.55","1.56","1.51","1.55","757000"
"SMCI","2010-07-28 13:30:00","1.54","1.55","1.47","1.49","1007000"
"SMCI","2010-07-29 13:30:00","1.5","1.51","1.43","1.44","2319000"
"SMCI","2010-07-30 13:30:00","1.42","1.45","1.4","1.44","2684000"
"SMCI","2010-08-02 13:30:00","1.47","1.5","1.35","1.36","4714000"
"SMCI","2010-08-03 13:30:00","1.35","1.38","1.32","1.35","5520000"
"SMCI","2010-08-04 13:30:00","1.13","1.13","0.98","1.01","35776000"
"SMCI","2010-08-05 13:30:00","1.02","1.03","1","1.01","6785000"
"SMCI","2010-08-06 13:30:00","1","1.01","0.97","1.01","5173000"
"SMCI","2010-08-09 13:30:00","1.01","1.02","0.99","1","4393000"
"SMCI","2010-08-10 13:30:00","0.99","1","0.94","0.95","5692000"
"SMCI","2010-08-11 13:30:00","0.94","0.94","0.92","0.92","3782000"
"SMCI","2010-08-12 13:30:00","0.92","0.92","0.88","0.88","5156000"
"SMCI","2010-08-13 13:30:00","0.88","0.91","0.86","0.9","7955000"
"SMCI","2010-08-16 13:30:00","0.9","0.92","0.85","0.86","9440000"
"SMCI","2010-08-17 13:30:00","0.87","0.9","0.87","0.9","2652000"
"SMCI","2010-08-18 13:30:00","0.9","0.95","0.89","0.94","4921000"
"SMCI","2010-08-19 13:30:00","0.94","0.95","0.91","0.92","2281000"
"SMCI","2010-08-20 13:30:00","0.92","0.93","0.91","0.93","2221000"
"SMCI","2010-08-23 13:30:00","0.93","0.94","0.91","0.91","1870000"
"SMCI","2010-08-24 13:30:00","0.9","0.91","0.88","0.89","1675000"
"SMCI","2010-08-25 13:30:00","0.88","0.92","0.88","0.92","1316000"
"SMCI","2010-08-26 13:30:00","0.93","0.94","0.91","0.91","1290000"
"SMCI","2010-08-27 13:30:00","0.92","0.94","0.91","0.92","6155000"
"SMCI","2010-08-30 13:30:00","0.92","0.93","0.89","0.9","2576000"
"SMCI","2010-08-31 13:30:00","0.89","0.91","0.88","0.9","2040000"
"SMCI","2010-09-01 13:30:00","0.92","0.95","0.9","0.95","2349000"
"SMCI","2010-09-02 13:30:00","0.95","0.96","0.94","0.95","1041000"
"SMCI","2010-09-03 13:30:00","0.97","1","0.96","0.99","2131000"
"SMCI","2010-09-07 13:30:00","0.99","1.01","0.98","0.99","2725000"
"SMCI","2010-09-08 13:30:00","1","1.01","0.95","0.96","1586000"
"SMCI","2010-09-09 13:30:00","0.98","0.98","0.95","0.98","1934000"
"SMCI","2010-09-10 13:30:00","0.97","0.99","0.97","0.98","820000"
"SMCI","2010-09-13 13:30:00","0.99","1.01","0.99","1.01","1672000"
"SMCI","2010-09-14 13:30:00","1","1.01","0.97","0.97","2081000"
"SMCI","2010-09-15 13:30:00","0.97","0.99","0.95","0.98","1378000"
"SMCI","2010-09-16 13:30:00","0.98","0.99","0.93","0.94","2032000"
"SMCI","2010-09-17 13:30:00","0.95","0.96","0.93","0.95","3828000"
"SMCI","2010-09-20 13:30:00","0.96","1","0.94","1","3056000"
"SMCI","2010-09-21 13:30:00","1.01","1.01","0.97","0.97","1435000"
"SMCI","2010-09-22 13:30:00","0.97","0.98","0.95","0.96","1450000"
"SMCI","2010-09-23 13:30:00","0.94","0.97","0.94","0.95","1321000"
"SMCI","2010-09-24 13:30:00","0.97","0.98","0.96","0.97","2056000"
"SMCI","2010-09-27 13:30:00","0.97","0.99","0.97","0.98","1652000"
"SMCI","2010-09-28 13:30:00","1.04","1.06","1.02","1.05","10963000"
"SMCI","2010-09-29 13:30:00","1.04","1.07","1.03","1.04","6423000"
"SMCI","2010-09-30 13:30:00","1.05","1.05","1.02","1.04","3323000"
"SMCI","2010-10-01 13:30:00","1.05","1.16","1.03","1.04","32721000"
"SMCI","2010-10-04 13:30:00","1.04","1.07","1.01","1.04","3459000"
"SMCI","2010-10-05 13:30:00","1.06","1.09","1.03","1.09","3321000"
"SMCI","2010-10-06 13:30:00","1.08","1.12","1.07","1.08","3389000"
"SMCI","2010-10-07 13:30:00","1.08","1.08","1.05","1.06","1571000"
"SMCI","2010-10-08 13:30:00","1.06","1.1","1.05","1.1","2023000"
"SMCI","2010-10-11 13:30:00","1.1","1.15","1.09","1.15","3713000"
"SMCI","2010-10-12 13:30:00","1.15","1.15","1.13","1.14","1582000"
"SMCI","2010-10-13 13:30:00","1.14","1.16","1.13","1.14","1884000"
"SMCI","2010-10-14 13:30:00","1.14","1.15","1.12","1.15","1252000"
"SMCI","2010-10-15 13:30:00","1.16","1.17","1.14","1.15","2041000"
"SMCI","2010-10-18 13:30:00","1.15","1.16","1.14","1.15","2113000"
"SMCI","2010-10-19 13:30:00","1.13","1.15","1.09","1.11","1937000"
"SMCI","2010-10-20 13:30:00","1.11","1.12","1.06","1.07","3425000"
"SMCI","2010-10-21 13:30:00","1.08","1.08","1.04","1.05","3366000"
"SMCI","2010-10-22 13:30:00","1.06","1.06","1.05","1.05","1359000"
"SMCI","2010-10-25 13:30:00","1.07","1.08","1.05","1.07","2336000"
"SMCI","2010-10-26 13:30:00","1.06","1.08","1.02","1.03","2933000"
"SMCI","2010-10-27 13:30:00","1.03","1.15","1.03","1.14","3901000"
"SMCI","2010-10-28 13:30:00","1.15","1.16","1.11","1.11","1543000"
"SMCI","2010-10-29 13:30:00","1.11","1.13","1.1","1.11","1653000"
"SMCI","2010-11-01 13:30:00","1.12","1.14","1.09","1.1","1689000"
"SMCI","2010-11-02 13:30:00","1.12","1.15","1.11","1.15","1330000"
"SMCI","2010-11-03 13:30:00","1.15","1.15","1.12","1.15","1910000"
"SMCI","2010-11-04 13:30:00","1.16","1.18","1.12","1.16","3016000"
"SMCI","2010-11-05 13:30:00","1.16","1.16","1.13","1.14","794000"
"SMCI","2010-11-08 14:30:00","1.14","1.15","1.12","1.13","919000"
"SMCI","2010-11-09 14:30:00","1.13","1.15","1.1","1.11","1086000"
"SMCI","2010-11-10 14:30:00","1.11","1.12","1.08","1.11","1527000"
"SMCI","2010-11-11 14:30:00","1.1","1.11","1.07","1.09","1558000"
"SMCI","2010-11-12 14:30:00","1.07","1.1","1.06","1.06","2002000"
"SMCI","2010-11-15 14:30:00","1.07","1.09","1.05","1.05","1503000"
"SMCI","2010-11-16 14:30:00","1.04","1.05","1.01","1.02","1653000"
"SMCI","2010-11-17 14:30:00","1.02","1.05","1.01","1.03","2735000"
"SMCI","2010-11-18 14:30:00","1.04","1.07","1.04","1.05","1303000"
"SMCI","2010-11-19 14:30:00","1.05","1.06","1.02","1.03","1502000"
"SMCI","2010-11-22 14:30:00","1.02","1.04","1.02","1.04","1422000"
"SMCI","2010-11-23 14:30:00","1.03","1.04","1.02","1.04","1158000"
"SMCI","2010-11-24 14:30:00","1.04","1.07","1.04","1.07","1130000"
"SMCI","2010-11-26 14:30:00","1.06","1.06","1.04","1.05","254000"
"SMCI","2010-11-29 14:30:00","1.04","1.04","1.01","1.03","1467000"
"SMCI","2010-11-30 14:30:00","1.02","1.04","1.01","1.03","1420000"
"SMCI","2010-12-01 14:30:00","1.05","1.08","1.05","1.06","1178000"
"SMCI","2010-12-02 14:30:00","1.06","1.09","1.06","1.08","932000"
"SMCI","2010-12-03 14:30:00","1.08","1.11","1.08","1.11","924000"
"SMCI","2010-12-06 14:30:00","1.1","1.12","1.09","1.1","1023000"
"SMCI","2010-12-07 14:30:00","1.11","1.19","1.11","1.18","3702000"
